We like de insides just de way day are man!,"¡A nosotros nos gustan las entrañas donde tienen que estar, miga!"
"Oh man, you tear off de toe.","Oh, miga, has arrancado nuestro dedo."
"We only be needin' de one leg to kill you, man.","Nosotros necesitamos una pierna solo para matarte, miga."
"We not be doin' the limbo man, can't get as low as we can.","Nosotros no hacemos limbo, miga."
We want to be jumpin' man.,"Nosotros queremos poder saltar, miga."
"We become more powerful than you can imagine now, man.","Nosotros nos hacemos más poderosos de lo que tú crees ahora, miga."
We be seein' clear for de first time now bro'.,"Ahora sí que vemos claro, miga."
"You aim for our big target, man.","Apuntas a gran objetivo, miga."
"We and I need some more o' de herb now, man.","Nosotros y yo necesitamos más de la hierba, miga."
"We be smellin' de fear on you, man.","Nosotros olemos miedo sobre ti, miga."
"You be takin' de long walk, man.","Vas a caminar hacia el lejano claro, miga."
"Come to us now, man.","Ven hacia nosotros ahora, miga."
"De pain come on you now, man.","El dolor se acerca a ti, miga."
"We be shooing you away now, man.","Nosotros vamos a ahuyentarte ahora, miga."
"We be ready to take a few heads now, man.","Nosotros listos para cortar algunas cabezas, miga."
We make de friend for Grampy-bone out of your bones!,¡Nosotros hacemos miga de Abuelo Hueso con tus huesos!
"We be startin' de bad dance on de enemy-head now, man.","Nosotros vamos a empezar danza sobre cabeza del enemigo muerto, miga."
"You be needin' more o' de sacred herb, man.","No necesitas fumar más de la hierba sagrada, miga."
Grampy-bone wonder why de bad-ones so stupid.,Abuelo Hueso pregunta porqué tú tan estúpida.
"We tink you must be dumber than you be lookin', but Grampy-bone not be thinkin' that possible.","Nosotros y yo creer que tú debes ser más tonta de que pareces, pero Abuelo Hueso no creer eso posible."
*Nfff*...just my arm...it's just my arm...,*Nfff*... sólo es el brazo... sólo es el brazo...
*Nfff*...another...damn arm wound...,*Nfff*... otra... maldita herida en el brazo...
"Sorry, friend, I can't take much more of this...","Lo siento, amiga, no puedo resistir más..."
Aighh! There's blood all over my leg! Help! Stimpack! Help!,¡Aighh! ¡Tengo sangre por toda la pierna! ¡Ayuda! ¡Estimulantes! ¡Ayuda!
Unarmed,Desarmada
Next Level:,Nuevo nivel:
CHAR POINTS, PUNTOS PJ.
before starting the game!,antes de empezar el juego!
Not enough skill points available.,¡No hay puntos disponibles!
You already have the maximum of,¡Ya tienes el máximo de tres
Heroic,Heróic
Hit Points,Ptos salud
Armor Class,Clase armadura
Sequence,Capac reacción
Healing Rate,Ritmo curación
Critical Chance,% críticos
Carry Weight,Peso máximo
Poisoned,Envenenada
Radiated,Irradiada
"This is a ranged stat that represents your general reputation. The higher the number, the better known and respected you are. If your rep is negative, you are hated by some for your evil actions.","Esta estadística representa tu reputación general. Cuanto más alto sea el número, más conocida y respetada serás. Si es negativa, serás odiada por algunos debido a tus malvadas acciones."
You are reliant to the chem Buffout. You must take this chem on an ongoing basis or suffer the effects of withdrawal.,"Eres adicta a los esteroides. Debes tomarlos regularmente o sufrirás el ""mono""."
You are suffering from Mentat reliant. You must take this particular chem or suffer withdrawal.,"Eres adicta a los mentats. Debes tomarlos regularmente o sufrirás el ""mono""."
"You have a chem reliant. If you do not take Psycho on a regular schedule, you will suffer. If you do, others will suffer.","Eres adicta al psico. Si no lo tomas, sufrirás. Si lo tomas, sufrirán los demás."
"Your body has become reliant on Radaway. While not life threatening, you must take it regularly.","Eres adicta al RadAway. Debes tomarlo regularmente o sufrirás el ""mono""."
You have a chem reliant. You must take Jet on a regular basis.,"Eres adicta al Jet. Debes tomarlo regularmente o sufrirás el ""mono""."
"Tragically, you are reliant on the Garnering. You are constantly in search of new expansions.","Desgraciadamente, eres adicta al juego Tragic: The Catering. Estás constantemente buscando nuevas cartas."
"You are a ""Made Man"" of the Salvatore Family. You are well-known, well-respected, and look great in a fedora.","Eres una mafiosa de la familia Salvatore. Eres conocida, respetada, y te sientan genial los sombreros."
You have been marked as a member of the Slaver's Guild. The tattoo on your forehead makes your profession evident to everyone you meet.,Has sido marcada como un miembro del gremio de esclavistas. El tatuaje en tu frente hace tu profesión evidente a cualquiera que lo ve.
"You are a ""Made Man"" of the Bishop Family. You are well-known, well-respected, and look great in a fedora.","Eres una mafiosa de la Familia Bishop. Eres conocida, respetada, y te sientan genial los sombreros."
"You are a ""Made Man"" of the Mordino Family. You are well-known, well-respected, and look great in a fedora.","Eres una mafiosa de la Familia Mordino. Eres conocida, respetada, y te sientan genial los sombreros."
"You are a ""Made Man"" of the Wright Family. You are well-known, well-respected, and look great in a fedora.","Eres una mafiosa de la Familia Wright. Eres conocida, respetada, y te sientan genial los sombreros."
Idolized,Idolatrada
Liked,Querida
Accepted,Aceptada
Antipathy,Antipática
Hated,Odiada
Vilified,Vilipendiada
Everyone in this area would like to be you. You're the toast-of-the-town and are held up as a shining example of all that a person can be.,Todo el mundo aquí querría ser como tú. Eres la hija predilecta y tomada como un ejemplo brillante de lo que una persona debería ser.
Savior of the Damned,Salvadora de los Condenados
Guardian of the Wastes,Guardiana del Yermo
Defender,Defensora
Wanderer,Vagabunda
Betrayer,Traidora
ADDICT,ADICTA
POISONED,ENVENENADA
RADIATED,IRRADIADA
LOAD GAME,CARGAR
Downtown,Centro de la ciudad
Dock,Puerto
Tin Woodsman,Tin Woodsman
You feel very nauseous.,Te sientes mareada.
"You feel very nauseous, and after some mild vomiting, slightly fatigued.","Te sientes muy mareada, y tras vomitar levemente, ligeramente fatigada."
"You are very fatigued, the vomiting does not stop, and your recovery time is impaired.","Estás muy fatigada, no paras de vomitar, y tu tiempo de recuperación está afectado."
"You are hemorrhaging violently. You are very sick, and your hair is falling out.","Sufres una violenta hemorragia. Estás muy enferma, y tu pelo se está cayendo."
There is bleeding from your intestines and you have severe diarrhea. You feel bloated and are in intense agony.,Te sangran los intestinos y tienes una severa diarrea. Te sientes hinchada y notas una intensa agonía.
I am now the mightiest amongst my pack.,Soy la más fuerte de mi manada.
Boss! I think I'm finally getting the hang of this.,¡Jefa! Creo que por fin le he cogido el tranquillo a esto.
"I'm actually getting better! Told you I wouldn't let you down, Boss.","¡Estoy mejorando! Te dije que no te decepcionaría, Jefa."
"See, Boss! You can teach an old dog new tricks!","¡Mira, Jefa! ¡Se le puede enseñar a un perro viejo nuevos trucos!"
"You know what, Boss? I think I'm actually learning a thing or two.","¿Sabes qué, Jefa? Creo que realmente estoy aprendiendo un par de cosas."
"I'm getting pretty good at this. See, Boss. All good things get better with time.","Me estoy volviendo bastante bueno en esto, Jefa. Todas las cosas buenas mejoran con el tiempo."
Strong Back,Mula
Sharpshooter,Tiradora
Master Trader,Maestra del trueque
Educated,Educada
Healer,Sanadora
Fortune Finder,Buscadora de fortuna
Slayer,Asesina
Sniper,Francotiradora
Action Boy,Mujer de acción
Dodger,Esquivadora
Master Thief,Maestra ladrona
Speaker,Oradora
Heave Ho!,Lanzamiento largo
Pickpocket,Cleptómana
Scrounger,Gorrona
Explorer,Exploradora
Pathfinder,Pionera
Scout,Rastreadora
Mysterious Stranger,Forastero misterioso
Smooth Talker,Charlatana
Nuka-Cola Reliance,Adicta a la Nuka-Cola
Buffout Reliance,Adicta a los esteroides
Mentats Reliance,Adicta a los mentats
Psycho Reliance,Adicta al psico
Weapon Accurate,Precisión de arma
Weapon Penetrate,Penetración de arma
Weapon Knockback,Retroceso de arma
Weapon Scope Range,Mira telescópica de arma
Weapon Fast Reload,Recarga Rápida de arma
Weapon Night Sight,Visión Nocturna de arma
Weapon Flameboy,Arma lanzallamas
Jet Reliance,Adicta al Jet
Tragic Reliance,Adicta a Tragic
Armor Charisma,Armadura Carisma
Gecko Skinning,Despellejadora de geckos
Demolition Expert,Experta en demoliciones
Gambler,Jugadora
Harmless,Inofensiva
Kama Sutra Master,Maestra del Kamasutra
Negotiator,Negociadora
Pyromaniac,Pirómana
Salesman,Vendedora
Thief,Ladrona
Expert Excrement Expeditor,Experta en manejo de excrementos
Weapon Enhanced Knockout,Derribo mejorado con arma
"You have mastered one aspect of bartering - buying goods far more cheaply than normal. With this Perk, you get a 25% discount when purchasing items from a store or another trader.","Te has hecho una maestra en comprar cosas más baratas de lo normal. Con este extra, recibes un descuento del 25% a la hora de comprar objetos de una tienda o de otro comerciante."
"You are less likely to be hit in combat if you have this Perk. You gain a +5 to your Armor Class, in addition to the AC bonus from any armor worn.","Eres menos proclive a ser herida en combate si tienes este extra. Ganas un bono de +5 a tu clase de armadura, que se añade al bono por llevar armadura."
"Yum! Tastes like chicken. For each level of this Perk, you gain +25% to your Poison Resistance.","¡Hmmm! ¡Sabe a pollo! Por cada nivel de este extra, ganas un 25% de resistencia al veneno."
"You are much more adept at stealing than the normal crook. You can steal with the best of them, because with this Perk, you ignore size and facing modifiers when stealing from a person.","Eres mucho más aficionada a robar que un ladrón normal. Puedes robar a cualquiera porque, con este extra, ignoras los modificadores de tamaño y encuentro a la hora de robar a una persona."
"Your reputation is always positive to people. Without this Perk, a large negative reputation would have a bad effect on good natured people. This works in the reverse as well. Evil people will even treat Mr. Goodie Good as one of the gang.","Tu reputación siempre será positiva para la gente. Sin este extra, una reputación muy negativa tendría efectos negativos con la gente honrada. También funciona al revés: ahora los malos tratarán a la señora Buena Buenaza como a una de los suyos."
"You are an expert when it comes to the fine art of handling explosives. They always go off when they're supposed to, as well as causing extra damage.","Eres una experta en el refinado arte del manejo de explosivos. Siempre explotan cuando deben, causando un daño extra."
"When it comes to pleasing sexually, you wrote the book.","A la hora de dar placer sexual, eres la mejor."
"You are agile, lucky, and always careful. This perk halves your chances of setting off a trap.","Eres ágil, cuidadosa y tienes suerte. Este extra reduce a la mitad las posibilidades de activar una trampa."
You are much less likely to be knocked down in combat.,Eres mucho menos proclive a ser derribada en combate.
Your hit points have been lowered slightly by repeated use of the autodoc.,Tus puntos de salud se han reducido un poco por tu reincidente alcoholismo.
Brahmin,Brahmines
"High tech armor, made out of advanced defensive polymers.","Armadura de alta tecnología, elaborada con avanzados polímeros defensivos."
Flamethrower Fuel,Combustible de lanzallamas
Bag,Bolsa
Dresser,Tocador
Stuff,Cosas
Crate,Caja de embalaje
"An electronic security key, color coded yellow.","Una tarjeta electrónica de seguridad, de color amarillo."
"A television dinner. You're not sure, but it's definitely not edible. You're not quite sure if it ever was.","No estás segura, pero seguramente no es comestible. No estás totalmente segura de si alguna vez lo fue."
Pot,Vasija
A finely crafted clay pot.,Una vasija artesanal de barro.
Plated Boxing Gloves,Guantes trucados
A standard key.,Una llave normal.
"The label on this holotape reads: ""Gecko Reactor Performance Data."" This disk contains a string of numbers that mean nothing to you. There sure is a lot of information here and it must be important to someone, somehow.","En la etiqueta de este holodisco pone: ""Datos de rendimiento del reactor de Gecko"". Este disco contiene una serie de números que no significan nada para ti. De todas formas, estás segura de que mucha de la información que contiene es importante para alguien."
"An electronic security key, color coded red.","Una tarjeta electrónica de seguridad, codificada en color rojo."
The bearer of this document is Security Clearance A-Prime as authorized by the authority of the President of the New California Republic. It's signed by President Tandi.,El portador de este documento dispone de un pase de seguridad clase-A conforme a lo autorizado por la Presidencia de la Nueva República de California. Está firmado por la Presidente Tandi.
Wagon,Carromato
A caravan wagon converted from the wrecked remains of an ancient automobile.,Un carromato de caravana construido a partir de los restos de un automóvil antiguo.
Raiders Map,Mapa de los Saqueadores
Car Trunk,Maletero
Fallout 2 Hintbook,Libro de pistas de Fallout 2
Wall Safe,Caja fuerte de pared
Poor Box,Cepillo de donativos
Toilet,Letrina
Bulletin Board,Tablon de anuncios
Floor Plate,Placa en el suelo
This line shows the number of male humans you have killed during the course of your adventures.,This line shows the number of male humans you have killed during the course of your adventures.
This line shows the number of female humans you have killed during the course of your adventures.,This line shows the number of female humans you have killed during the course of your adventures.
The number of Super Mutants you have slain during the course of your adventures.,The number of Super Mutants you have slain during the course of your adventures.
This line shows the number of male and female ghoul mutants you have killed during the course of your adventures.,This line shows the number of male and female ghoul mutants you have killed during the course of your adventures.
This line shows the number of Brahmin (mutated cows) you have chopped up during your travels.,This line shows the number of Brahmin (mutated cows) you have chopped up during your travels.
The number of mutated Radscorpions that you have put to death during your adventure.,The number of mutated Radscorpions that you have put to death during your adventure.
The number of rats you have killed.  Includes all members of the rat family.,The number of rats you have killed.  Includes all members of the rat family.
This is the number of mutant Floaters that you have put to death.,This is the number of mutant Floaters that you have put to death.
